Station Name,Location,Neighborhood,City,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O
18th (Pink Line),"(41.857908, -87.669147)",Chicago Loop,Chicago,False,False,False,False,False,False,False,True,False
35th-Bronzeville-IIT (Green Line),"(41.831677, -87.625826)",Douglas,Chicago,False,False,True,False,False,False,False,False,False
35th/Archer (Orange Line),"(41.829353, -87.680622)",Garfield Park,Chicago,False,False,False,False,False,False,False,False,True
43rd (Green Line),"(41.816462, -87.619021)",Bronzeville,Chicago,False,False,True,False,False,False,False,False,False
47th (Green Line),"(41.809209, -87.618826)",Bronzeville,Chicago,False,False,True,False,False,False,False,False,False
47th (Red Line),"(41.810318, -87.63094)",Fuller Park,Chicago,True,False,False,False,False,False,False,False,False
51st (Green Line),"(41.80209, -87.618487)",Bronzeville,Chicago,False,False,True,False,False,False,False,False,False
54th/Cermak (Pink Line),"(41.85177331, -87.75669201)",,Cicero,False,False,False,False,False,False,False,True,False
63rd (Red Line),"(41.780536, -87.630952)",Englewood,Chicago,True,False,False,False,False,False,False,False,False
69th (Red Line),"(41.768367, -87.625724)",Greater Grand Crossing,Chicago,True,False,False,False,False,False,False,False,False
79th (Red Line),"(41.750419, -87.625112)",South Side,Chicago,True,False,False,False,False,False,False,False,False
87th (Red Line),"(41.735372, -87.624717)",South Side,Chicago,True,False,False,False,False,False,False,False,False
95th/Dan Ryan (Red Line),"(41.722377, -87.624342)",Roseland,Chicago,True,False,False,False,False,False,False,False,False
95th/Ran Ryan (Red Line),"(41.722377, -87.624342)",Roseland,Chicago,True,False,False,False,False,False,False,False,False
"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)","(41.879507, -87.626037)",Chicago Loop,Chicago,False,False,True,True,False,True,False,True,True
Addison (Blue Line),"(41.94738, -87.71906)",Irving Park,Chicago,False,True,False,False,False,False,False,False,False
Addison (Brown Line),"(41.947028, -87.674642)",North Center,Chicago,False,False,False,True,False,False,False,False,False
Addison (Red Line),"(41.947428, -87.653626)",Lake View East,Chicago,True,False,False,False,False,False,False,False,False
Argyle (Red Line),"(41.973453, -87.65853)",Uptown,Chicago,True,False,False,False,False,False,False,False,False
Armitage (Brown & Purple Lines),"(41.918217, -87.652644)",Lincoln Park,Chicago,False,False,False,True,False,True,False,False,False
Ashland (Green & Pink Lines),"(41.885269, -87.666969)",West Loop,Chicago,False,False,True,False,False,False,False,True,False
Ashland (Orange Line),"(41.839234, -87.665317)",Lower West Side,Chicago,False,False,False,False,False,False,False,False,True
Ashland/63rd (Green Line),"(41.77886, -87.663766)",West Englewood,Chicago,False,False,True,False,False,False,False,False,False
Austin (Blue Line),"(41.870851, -87.776812)",,Oak Park,False,True,False,False,False,False,False,False,False
Austin (Green Line),"(41.887293, -87.774135)",Austin,Chicago,False,False,True,False,False,False,False,False,False
Belmont (Blue Line),"(41.938132, -87.712359)",Avondale,Chicago,False,True,False,False,False,False,False,False,False
"Belmont (Red, Brown & Purple Lines)","(41.939751, -87.65338)",Lake View East,Chicago,True,False,False,True,False,True,False,False,False
Berwyn (Red Line),"(41.977984, -87.658668)",Edgewater,Chicago,True,False,False,False,False,False,False,False,False
